STATION,NODE,YEAR,WEEK,PEAK,SHOULDER,OFFPEAK
Glenbrook_cogen,NI,2017,21,78.975,74.366,77.607
Glenbrook_cogen,NI,2017,22,70.438,67.681,70.799
Glenbrook_cogen,NI,2017,23,72.704,73.75,72.142
Glenbrook_cogen,NI,2017,24,76.866,79.962,80.657
Glenbrook_cogen,NI,2017,25,84.003,82.971,78.672
Glenbrook_cogen,NI,2017,26,74.846,77.547,74.394
Glenbrook_cogen,NI,2017,27,75.57,79.539,77.398
Glenbrook_cogen,NI,2017,28,78.542,79.264,73.15
Glenbrook_cogen,NI,2017,29,75.761,74.903,78.591
Glenbrook_cogen,NI,2017,30,67.818,69.26,69.769
Glenbrook_cogen,NI,2017,31,64.39,65.179,71.204
Glenbrook_cogen,NI,2017,32,75.872,72.18,73.869
Glenbrook_cogen,NI,2017,33,72.237,68.161,73.196
Glenbrook_cogen,NI,2017,34,76.34,67.819,65.81
Glenbrook_cogen,NI,2017,35,60.145,58.995,67.083
Glenbrook_cogen,NI,2017,36,75.87,73.335,72.938
Glenbrook_cogen,NI,2017,37,26.273,31.158,33.93
Glenbrook_cogen,NI,2017,38,49.17,50.847,50.468
Glenbrook_cogen,NI,2017,39,56.61,55.992,61.495
Glenbrook_cogen,NI,2017,40,40.431,44.292,46.096
Glenbrook_cogen,NI,2017,41,73.085,71.588,68.471
Glenbrook_cogen,NI,2017,42,64.636,64.574,69.971
Glenbrook_cogen,NI,2017,43,68.738,67.707,74.063
Glenbrook_cogen,NI,2017,44,65.584,68.5,71.01
Glenbrook_cogen,NI,2017,45,59.995,61.621,71.231
Glenbrook_cogen,NI,2017,46,67.549,63.094,55.649
Glenbrook_cogen,NI,2017,47,77.682,76.277,67.432
Glenbrook_cogen,NI,2017,48,70.022,72.124,68.442
Glenbrook_cogen,NI,2017,49,73.499,73.492,70.582
Glenbrook_cogen,NI,2017,50,80.136,68.835,70.616
Glenbrook_cogen,NI,2017,51,80.143,75.894,76.603
Glenbrook_cogen,NI,2017,52,75.5,71.462,75.871
Glenbrook_cogen,NI,2018,1,72.598,72.441,70.164
Glenbrook_cogen,NI,2018,2,64.605,63.197,67.229
Glenbrook_cogen,NI,2018,3,68.901,70.165,68.271
Glenbrook_cogen,NI,2018,4,71.58,72.348,65.592
Glenbrook_cogen,NI,2018,5,65.081,65.312,64.413
Glenbrook_cogen,NI,2018,6,47.591,53.691,56.768
Glenbrook_cogen,NI,2018,7,69.938,62.895,62.658
Glenbrook_cogen,NI,2018,8,70.686,59.863,61.084
Glenbrook_cogen,NI,2018,9,37.401,41.431,47.514
Glenbrook_cogen,NI,2018,10,59.248,57.203,59.1
Glenbrook_cogen,NI,2018,11,57.598,57.443,58.512
Glenbrook_cogen,NI,2018,12,45.653,51.893,55.387
Glenbrook_cogen,NI,2018,13,72.997,71.088,75.754
Glenbrook_cogen,NI,2018,14,34.701,45.828,54.417
