% Historical weekly inflow sequences [cumecs].

CATCHMENT,,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
INFLOW_REGION,,NI,NI,NI,SI,SI,SI,SI,SI,SI,NI,SI,NI,NI,NI,SI,SI,NI,SI,NI,SI,NI,NI,NI,NI,SI,SI,NI
YEAR,WEEK
1933,19,6.199714,3.137857,7.769,2.551143,30.738429,280.890143,6.794714,19.659143,47.165571,21.029143,421.019,4.086714,16.727,75.562357,72.016286,46.689143,37.654857,57.778714,46.251667,9.585714,209.133546,69.712167,8.145286,6.453143,6.055714,235.293571,12.754143
1933,20,4.309714,2.181143,5.400143,6.520857,78.564,506.109,9.194429,30.373143,136.967571,14.617571,1957.774857,7.413429,11.627143,64.612375,153.869857,112.365286,26.174143,147.676857,34.817571,17.271571,147.343286,50.69075,3.052857,4.485429,15.477143,282.899857,8.865429
1933,21,3.893571,1.970571,4.878714,4.362143,52.556429,400.699,7.931571,24.734857,86.078857,13.205857,572.024,8.550714,10.504286,72.984769,118.056143,82.481714,23.646571,98.790143,44.657286,13.644286,196.444889,67.4966,42.353,4.052429,10.353714,289.715571,8.009429
1933,22,4.049,2.048857,5.073286,2.921286,35.195714,320.923429,6.848,19.897286,52.209429,13.732714,260.007286,16.092714,10.923286,74.573692,88.709286,65.776714,24.589857,66.157,49.331889,10.951857,193.893875,71.325,93.466286,4.214143,6.933571,248.348,8.328857
1933,23,4.756857,2.407571,5.960571,2.344571,28.247143,249.707571,6.261857,17.280714,33.119714,16.134857,143.660857,5.202143,12.834,63.963786,65.502286,52.042429,28.891286,53.095286,35.5763,8.521714,147.096909,50.1408,18.710571,4.951143,5.564857,205.745,9.786
1933,24,3.896571,1.972286,4.882857,1.802143,21.711286,194.625,4.567429,9.716714,27.078143,13.216714,133.361946,4.228143,10.513,56.158,45.201714,43.000143,23.666,40.810571,26.840636,6.641857,106.132667,31.478556,14.160143,4.055714,4.277143,169.209714,8.015857
1933,25,4.018286,2.033714,5.035,1.495429,18.013143,151.2805,4.113,7.687143,27.206,13.628714,113.124143,4.523143,10.840571,54.049429,39.297143,34.757143,24.403429,33.859857,23.851125,5.105429,75.902875,31.652556,12.462429,4.182,3.548286,145.935,8.265857
1933,26,3.845714,1.946429,4.818857,1.433,17.261,91.148571,4.883714,11.128,32.654286,13.044143,215.493,20.219143,10.375571,57.411857,38.225857,33.478,23.356714,32.446,26.349222,3.110714,125.54925,44.4184,12.892857,4.002429,3.4,119.696143,7.911143
1933,27,3.840286,1.943571,4.812,1.433,17.261,140.550286,4.210143,8.121714,29.581714,13.025429,140.325429,3.374143,10.361,56.7195,38.137429,24.358857,23.323429,32.446,27.224917,4.796571,101.3485,35.799818,30.662714,3.997,3.4,89.342714,7.900143
1933,28,3.753571,1.899714,4.703429,4.800286,57.832429,180.295375,7.186571,21.409857,118.412429,12.731429,370.044286,11.550429,10.126857,63.189667,133.114143,141.693571,22.797,108.707429,32.888615,6.247714,139.995625,47.473571,17.912857,3.906714,11.393,103.317714,7.721571
