hub,woy,daytype,tp,mw
BEN,7,weekend,34,233.79369999999997
BEN,7,weekend,35,238.1575
BEN,7,weekend,36,240.99919999999997
BEN,7,weekend,37,189.74891666666664
BEN,7,weekend,38,183.02983333333336
BEN,7,weekend,39,181.66
BEN,7,weekend,40,178.50608333333332
BEN,7,weekend,41,180.28583333333333
BEN,7,weekend,42,181.1127666666667
BEN,7,weekend,43,182.7735
BEN,7,weekend,44,178.31141666666667
BEN,7,weekend,45,170.62396666666666
BEN,7,weekend,46,156.6986
BEN,7,weekend,47,160.69400000000002
BEN,7,weekend,48,158.46006666666668
BEN,8,weekday,1,157.73626666666667
BEN,8,weekday,2,151.83616666666666
BEN,8,weekday,3,144.58399999999997
BEN,8,weekday,4,142.57683333333333
BEN,8,weekday,5,142.46583333333334
BEN,8,weekday,6,144.03233333333333
BEN,8,weekday,7,140.90676666666667
BEN,8,weekday,8,139.2875
BEN,8,weekday,9,138.83500000000004
BEN,8,weekday,10,142.38883333333334
BEN,8,weekday,11,153.9415
BEN,8,weekday,12,198.58363333333332
BEN,8,weekday,13,163.71150000000003
BEN,8,weekday,14,176.27683333333331
BEN,8,weekday,15,247.42366666666666
BEN,8,weekday,16,192.18033333333335
BEN,8,weekday,17,190.3275
BEN,8,weekday,18,186.7705
BEN,8,weekday,19,188.20083333333332
BEN,8,weekday,20,191.02466666666666
BEN,8,weekday,21,196.62766666666664
BEN,8,weekday,22,195.7695333333333
BEN,8,weekday,23,198.08849999999998
BEN,8,weekday,24,197.876
BEN,8,weekday,25,197.332
BEN,8,weekday,26,198.34383333333335
BEN,8,weekday,27,197.69141666666667
BEN,8,weekday,28,252.49513333333337
BEN,8,weekday,29,255.7803333333333
BEN,8,weekday,30,253.93533333333335
BEN,8,weekday,31,198.11841666666666
BEN,8,weekday,32,199.42416666666668
BEN,8,weekday,33,249.9571666666667
BEN,8,weekday,34,186.89333333333332
BEN,8,weekday,35,183.80758333333333
BEN,8,weekday,36,191.11103333333332
BEN,8,weekday,37,260.75958333333335
BEN,8,weekday,38,193.71249999999998
BEN,8,weekday,39,245.84316666666666
BEN,8,weekday,40,181.42483333333334
BEN,8,weekday,41,178.4858333333333
BEN,8,weekday,42,242.02533333333335
BEN,8,weekday,43,180.53749999999997
BEN,8,weekday,44,176.18833333333333
BEN,8,weekday,45,172.7951666666667
BEN,8,weekday,46,219.3201666666667
BEN,8,weekday,47,217.58875
BEN,8,weekday,48,208.19690000000003
BEN,8,weekend,1,150.90290000000002
BEN,8,weekend,2,187.79608333333334
BEN,8,weekend,3,181.90641666666664
BEN,8,weekend,4,177.91183333333333
BEN,8,weekend,5,172.17783333333333
BEN,8,weekend,6,157.9205
BEN,8,weekend,7,133.2761
BEN,8,weekend,8,168.08316666666667
BEN,8,weekend,9,171.0558333333333
BEN,8,weekend,10,172.53183333333334
BEN,8,weekend,11,176.72313333333332
BEN,8,weekend,12,178.22466666666668
BEN,8,weekend,13,185.35250000000002
BEN,8,weekend,14,193.72699999999998
BEN,8,weekend,15,198.2712333333333
BEN,8,weekend,16,205.43183333333334
BEN,8,weekend,17,215.84593333333336
BEN,8,weekend,18,226.9837
BEN,8,weekend,19,231.12116666666668
BEN,8,weekend,20,230.63786666666667
BEN,8,weekend,21,234.34338333333335
BEN,8,weekend,22,234.95153333333332
BEN,8,weekend,23,182.34035
BEN,8,weekend,24,231.836
BEN,8,weekend,25,176.0976
BEN,8,weekend,26,222.0811666666667
BEN,8,weekend,27,172.24466666666666
BEN,8,weekend,28,219.89213333333333
BEN,8,weekend,29,168.84703333333331
BEN,8,weekend,30,215.7783333333333
BEN,8,weekend,31,221.90691666666663
BEN,8,weekend,32,176.37709999999998
BEN,8,weekend,33,179.83966666666666
BEN,8,weekend,34,177.87840000000003
BEN,8,weekend,35,173.76063333333335
BEN,8,weekend,36,230.31409999999997
BEN,8,weekend,37,176.04533333333333
BEN,8,weekend,38,227.15879999999999
BEN,8,weekend,39,219.96483333333336
BEN,8,weekend,40,213.84000000000003
BEN,8,weekend,41,216.00223333333338
BEN,8,weekend,42,220.2232
BEN,8,weekend,43,219.09033333333332
BEN,8,weekend,44,160.20341666666667
BEN,8,weekend,45,154.11275
BEN,8,weekend,46,151.29916666666668
BEN,8,weekend,47,159.69266666666667
BEN,8,weekend,48,153.49783333333335
BEN,9,weekday,1,190.93103333333332
BEN,9,weekday,2,165.40745
BEN,9,weekday,3,159.3915
BEN,9,weekday,4,169.23503333333332
BEN,9,weekday,5,152.211875
BEN,9,weekday,6,168.6747916666667
BEN,9,weekday,7,153.44796666666667
BEN,9,weekday,8,165.79575
BEN,9,weekday,9,149.98219999999998
BEN,9,weekday,10,169.56816666666666
BEN,9,weekday,11,164.41991666666667
BEN,9,weekday,12,191.138375
BEN,9,weekday,13,185.03029166666667
BEN,9,weekday,14,221.92033333333336
BEN,9,weekday,15,214.97608333333335
BEN,9,weekday,16,228.67668333333333
BEN,9,weekday,17,263.851625
BEN,9,weekday,18,226.64459166666666
BEN,9,weekday,19,257.95529999999997
BEN,9,weekday,20,256.57100833333334
BEN,9,weekday,21,261.00033333333334
BEN,9,weekday,22,259.4777
BEN,9,weekday,23,226.53509166666666
BEN,9,weekday,24,226.61306666666667
BEN,9,weekday,25,257.4529166666667
BEN,9,weekday,26,260.6843083333333
BEN,9,weekday,27,228.5905416666667
BEN,9,weekday,28,252.8540833333333
BEN,9,weekday,29,252.941625
BEN,9,weekday,30,254.27279166666668
BEN,9,weekday,31,221.86195833333335
BEN,9,weekday,32,232.30205833333332
BEN,9,weekday,33,255.68193333333335
BEN,9,weekday,34,253.53766666666664
BEN,9,weekday,35,226.78184166666665
BEN,9,weekday,36,255.75655833333337
BEN,9,weekday,37,255.07359166666663
BEN,9,weekday,38,221.2416
BEN,9,weekday,39,215.25305000000003
BEN,9,weekday,40,235.33454166666667
BEN,9,weekday,41,237.02194999999998
BEN,9,weekday,42,210.16550000000004
BEN,9,weekday,43,230.5995666666667
BEN,9,weekday,44,225.93506666666667
